Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances,Best_model
modified_clf3,17,2.833213344056216,49732,10.814403868072828,2,49732,10,4973.2,0.5201685020421689,0.8831738116303386,0.1168261883696613,0.5,0.5418896011538185,246.67537141937927,85873617,1129.4130815062997,0.093153778,40.78364835804942,8.626556868,14.437165967182231,-1.058045024,4463.729868218614,666.1229586393147,1675.2747547854956,0.000341832,RandomForest
modified_clf30,48,3.871201010907891,31480,10.35710770253134,2,31480,0,0,0.5222333782103632,0.8824650571791613,0.1175349428208386,0.5,0.5408872709965713,0.151024863,228204.6097255392,0.1425144521595096,-0.613099391,47.32521273972273,4.601353945475176,7.058282686,-2.000112544,4881.4175582228445,125.01839514755704,702.3314744052392,0.001524778,SVM
modified_clf31,14,2.6390573296152584,4612,8.436416881388949,2,4612,9,512.4444444444445,0.8795345543126079,0.7014310494362532,0.2985689505637467,0.5,0.2848665219957947,155.4207931916739,3584003.491,330.6292899,-0.720021691,2.156165213085116,0.9069368930885938,1.041463653230407,-1.225060075,9.353162274853466,2.192207880535465,4.574894633913454,0.003035559,Decision Tree
modified_clf32 0.5 gb,11,2.3978952727983707,1048575,13.862942657524137,2,1048575,0,0,0.012289983,0.998910903,0.001089097,0.5,0.705566565,0.2262398304449008,2609523.732296381,0.1414769786250008,0.090975922,30.25219789549321,4.596533798398806,9.162607661342204,-1.837360713,913.1972192952084,95.56277138340208,274.4900189130027,1.049042748492001e-05,XGBoost
modified_clf33,21,3.044522437723423,2000,7.600902459542082,4,2000,0,0,2,0.25,0.25,0.25,0,261.2525238095238,10972606,270.27708091379185,-1.228141634,1.019811410531552,0.060191442,0.4112523692352856,-2.001858639,0.2770763245651877,-1.224647144,0.6065539759339303,0.0105,Random Forest
modified_clf34,20,2.995732273553991,10999,9.305559638557115,2,10999,0,0,0.9728535767916208,0.5966906082371125,0.4033093917628875,0.5,0.1367411695230281,193.6398036185108,42596884,364.9725115289116,-0.764106233,2.9494087966936138,0.8583222613363549,1.0567420011489626,-2.000089824,6.700230551461256,0.1814424956021279,2.319360266,0.001818347,Decision Tree
modified_clf35,33,3.496507561,2205,7.698482787880946,4,2205,0,0,1.903981527656732,0.3832199546485261,0.1492063492063492,0.25,0.1058911596026859,0.03327149,2421.000000000001,0.012863575,-0.605990441,10.363650940859324,1.169658634715132,2.4377784899502326,-2.001452862,105.50095251421531,5.897337019,21.71447336861566,0.014965986,SVC
modified_clf36,5,1.6094379124341005,200,5.298317366548036,5,200,0,0,2.148713385928616,0.395,0.11,0.2,0.1157583690279022,30.448,30448,12.601075578862297,-0.388286786,0.4855688509668165,0.1230963907488839,0.3449356904774845,-1.960375227,-0.098487087,-0.894899762,0.6753803962737722,0.025,RandomForestClassifier
modified_clf37,11,2.3978952727983707,10000,9.210340371976184,2,10000,0,0,0.7292666572167683,0.7963,0.2037,0.5,0.4190314785311481,16115.812872727274,1772739416,24272.054102597547,-0.901811595,1.4716106649378211,0.2495682757033208,0.6465294306674668,-1.996746803,1.3953470615086956,-0.78574689,1.0876780157563597,0.0011,RandomForestClassifier
modified_clf38,20,2.995732273553991,243787,12.404050172212212,2,243787,0,0,0.6827647476475857,0.8187680229052411,0.1812319770947589,0.5,0.4508060612434493,0.4839876613601216,2359798,0.2801773605561204,-0.006565089,1.6550440835817826,0.1167432688782915,0.3939334883172162,-2.000016049,0.7391769826531691,-1.308888025,0.642733413,8.203882897775518e-05,KNN
modified_clf39,22,3.091042453358316,9134,9.119758993744943,2,9134,0,0,0.592561524,0.8567987738121305,0.1432012261878694,0.5,0.5045896649632053,2103.370634919412,422668122.3457861,6567.846797618978,-0.468382983,3.0322802599299847,0.7588855751776687,0.99679663,-1.998848457,13.823533425442404,1.0999189358990142,3.9047153035989695,0.002408583,Random Forest
modified_clf4,20,2.995732273553991,9994,9.209740192,3,9994,0,0,0.7502512793050531,0.8062837702621573,0.006503902,0.3333333333333333,0.4194347035771381,3095.9193129795785,618812352.2783581,7132.130010800699,-1.166426972,1.7661239761274377,0.1431445891306723,0.6273366006826556,-1.553679696,2.409546122596677,-0.699044141,1.0765293513581855,0.002001201,Decision Tree
modified_clf40,14,2.6390573296152584,47280,10.76384265207998,2,47280,0,0,1,0.5,0.5,0.5,0,0.1369345496894052,90639.71713041113,0.1874195910510432,-2.727492425,8.537908114901205,0.1461856788774488,2.8376288836755097,-2.000084608,77.20444403,6.901803336392151,20.58453096651996,0.000296108,XGBoost
modified_clf41,11,2.3978952727983707,14999,9.615738811,2,14999,5,2999.8,0.791837042,0.7619174611640777,0.2380825388359224,0.5,0.370407226,0.8718547903193546,78461.7,0.4981254764991672,-0.476360341,6.636968380523423,1.8730827770008749,2.5400465003277297,-1.239040282,42.05495696777868,7.752754809491127,16.954897603535628,0.000733382,Random Forest
modified_clf42,18,2.8903717578961645,12330,9.419790596,2,12330,0,0,0.6215872133523166,0.8452554744525548,0.1547445255474452,0.5,0.4882649744543606,0.008596918,1908.000006489828,0.1504640538896774,-2.326761753,7.579184716046325,3.034845409594045,2.5455875809820223,-1.615745829,137.1741637409408,24.71637851183437,36.55344377703311,0.001459854,RandomForestClassifier
modified_clf43,9,2.197224577,9000,9.104979856318357,2,9000,3,3000,0.987223634,0.5664444444444444,0.4335555555555556,0.5,0.093966634,264.1503657782056,14264119.75,336.9801138897002,-0.268200772,0.029076584,-0.044657276,0.1114567955313523,-1.999179293,-1.188378058,-1.469094207,0.3852638513171322,0.001,RandomForestClassifier
modified_clf44,42,3.737669618283368,180519,12.10359131437319,2,180519,13,13886.076923076924,0.1552658583790368,0.9774982134844532,0.022501787,0.5,0.6752844495186372,6227.927427989251,32603517709.82255,12097.576566215528,-4.74183407,6.439303119629733,0.6122982386407984,2.277245949866779,-1.451395605,71.37725865589996,11.19017074565333,20.44172468712346,0.000232662,Decision tree
