Dataset_Name,numberofFeatres,logofFeatures,numberofInstances,logofInstances,numberofClasses,numberofNumericalFeatures,numberofCategoricalFeatures,ratio,entropy,classprobmax,classprobmin,classprobmean,classprobstd,symbolsmean,symbolssum,symbolsstd,skewnessmin,skewnessmax,skewnessmean,skewnessstd,kurtosismin,kurtosismax,kurtosismean,kurtosisstd,DatasetRatioofNumberofFeaturestoNumberofInstances,Best_model
modified_reg27,4,1.3862943611198906,888,6.788971743,808,888,0,0,9.612535489,0.003378378,0.001126126,0.001237624,0.000345767,15858.370495495496,56328932,8450.426268480613,0.016164088,0.1514987068618651,0.061962205,0.062903611,-0.448990949,-0.359387526,-0.421258308,0.041618877,0.004504505,Random Forest
modified_reg28,7,1.9459101490553128,1000,6.907755278982137,990,1000,0,0,9.945784284662087,0.002,0.001,0.001010101,0.000100045,104.209671,729467.6969999999,112.1422191641824,0.007077448,0.8925698049581423,0.5141867663526857,0.4719297170146602,-1.218591428,-0.081884758,-0.559037789,0.5955151944997695,0.007,LinearRegression
modified_reg29,19,2.9444389791664403,1017209,13.83257316,21734,1017209,3,339069.6666666667,11.783655335730282,0.1699463925309351,9.830821394619983e-07,4.601085856262077e-05,0.001153457,1013.3071060740712,16491921729,2068.569249262617,-1.758044546,2.933464608539131,0.3281573703338148,1.0111000246339683,-1.999998846,13.04053940721749,0.041939633,3.638343340414819,1.867856064977797e-05,XGBoost
modified_reg3,11,2.3978952727983707,8523,9.050523670522296,3493,8523,6,1420.5,11.402028987538433,0.001994603,0.00011733,0.000286287,0.00022945,472.27472121050505,20107176.50948128,755.1686813,0.082426209,1.1775306028542796,0.590178083,0.5448454442729108,-1.227766414,1.6794454826024237,-0.005581452,1.5152752262899878,0.001290625,Lasso
modified_reg30,4,1.3862943611198906,2670931,14.79793765873708,173,2670931,0,0,0.6435053635245052,0.9032850343194938,3.744012855442541e-07,0.005780347,0.068812907,149.55498293946962,1597804160.550002,27.37235786281005,-0.077986257,303.3431207554856,75.97588285664693,151.57832042100068,-1.251399742,201352.1368092196,50337.22538772511,100676.6076144081,1.4976051421770162e-06,Linear Regression
modified_reg31,12,2.4849066497880004,8523,9.050523670522296,3493,8523,0,0,11.402028987538433,0.001994603,0.00011733,0.000286287,0.00022945,427.4017975320277,43712946.24438568,495.3996595799574,-0.861866117,1.1775306028542796,0.2226536293577247,0.630763171,-1.620055672,1.6794454826024237,-0.499668603,1.1570683759971214,0.001407955,Random Forest
modified_reg32,6,1.791759469228055,1048575,13.862942657524137,129657,1048575,2,524287.5,7.104229435549285,0.4706797320172615,9.536752259018191e-07,7.712657241799518e-06,0.001314506,131139.78498265875,550039600152.7655,151211.8791702561,0,46.86818797559784,13.519470721279744,22.49067107079311,-1.20045532,2865.212371602283,736.3210462506725,1419.8088789196042,5.722051355410915e-06,XGBRegressor
modified_reg33,21,3.044522437723423,188340,12.146004119064054,47422,188340,0,0,14.761254162885518,0.000169905,5.3095465647233726e-06,2.108725907806503e-05,2.4546977736191657e-05,2146.604784670074,8490122448.039998,4025.966917626947,-0.211021047,3.8002932698982894,1.2648574398164592,1.0651641901058726,-1.986736153,12.442361063712385,1.1630638857473616,3.700462695423045,0.0001115,XGBRegressor
modified_reg34,4,1.3862943611198906,888,6.788971743,808,888,0,0,9.612535489,0.003378378,0.001126126,0.001237624,0.000345767,15858.370495495496,56328932,8450.426268480613,0.016164088,0.1514987068618651,0.061962205,0.062903611,-0.448990949,-0.359387526,-0.421258308,0.041618877,0.004504505,RandomForestRegressor
modified_reg35,8,2.079441541679836,1000,6.907755278982137,10,1000,4,250,3.314286773215128,0.119,0.085,0.1,0.010893423,92.6906275,370762.51,112.64851584482108,0.007077448,0.8925698049581418,0.2314331135082404,0.4407667721769646,-1.566889158,-0.081884758,-1.020728143,0.647256547,0.008,DecisionTree
